max_net_adj,impact_col,min_starts,min_absences,conf_floor,swing_threshold,matches,base_correct,adj_correct,base_acc,adj_acc,delta,swings,swing_correct,swing_wrong,swing_acc,matches_with_adj,direction_correct,direction_rate
0.15,weighted_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,969,464,0.478844169246646
0.15,weighted_impact,15,5,0.0,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,969,464,0.478844169246646
0.15,weighted_impact,15,5,0.0,0.3,1137,792,772,0.6965699208443272,0.6789797713280563,-20,138,59,79,0.427536231884058,969,464,0.478844169246646
0.03,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.3,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.3,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,968,464,0.4793388429752066
0.05,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.05,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.05,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.05,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.05,weighted_impact,15,5,0.3,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.05,weighted_impact,15,5,0.3,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.075,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.075,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.075,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.075,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.075,weighted_impact,15,5,0.3,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.075,weighted_impact,15,5,0.3,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.3,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.3,1137,792,779,0.6965699208443272,0.6851363236587511,-13,111,49,62,0.44144144144144143,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.3,1137,792,772,0.6965699208443272,0.6789797713280563,-20,138,59,79,0.427536231884058,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
